0 [0.00e+00, 0.00e+00]
100 [-1.52e-02, 9.63e-05]
200 [1.47e-01, 1.77e-02]
300 [3.64e-01, 1.52e-03]
400 [5.27e-01, 3.72e-03]
500 [6.57e-01, 6.68e-03]
600 [7.55e-01, 9.13e-03]
700 [8.26e-01, 1.00e-02]
800 [8.78e-01, 1.13e-02]
900 [9.11e-01, 1.22e-02]
1000 [9.32e-01, 1.29e-02]
1100 [9.47e-01, 1.35e-02]
1200 [9.55e-01, 1.38e-02]
1300 [9.61e-01, 1.41e-02]
1400 [9.65e-01, 1.41e-02]
1500 [9.68e-01, 1.43e-02]
1600 [9.70e-01, 1.44e-02]
1700 [9.73e-01, 1.45e-02]
1800 [9.73e-01, 1.43e-02]
1900 [9.75e-01, 1.44e-02]
2000 [9.76e-01, 1.43e-02]
2100 [9.78e-01, 1.44e-02]
2200 [9.78e-01, 1.44e-02]
2300 [9.79e-01, 1.43e-02]
2400 [9.79e-01, 1.42e-02]
2500 [9.81e-01, 1.42e-02]
2600 [9.81e-01, 1.41e-02]
2700 [9.81e-01, 1.41e-02]
2800 [9.82e-01, 1.40e-02]
2900 [9.82e-01, 1.38e-02]
3000 [9.82e-01, 1.37e-02]
3100 [9.84e-01, 1.37e-02]
3200 [9.84e-01, 1.36e-02]
3300 [9.84e-01, 1.35e-02]
3400 [9.85e-01, 1.34e-02]
3500 [9.85e-01, 1.33e-02]
3600 [9.85e-01, 1.32e-02]
3700 [9.86e-01, 1.31e-02]
3800 [9.86e-01, 1.30e-02]
3900 [9.85e-01, 1.29e-02]
4000 [9.87e-01, 1.28e-02]
4100 [9.87e-01, 1.28e-02]
4200 [9.87e-01, 1.27e-02]
4300 [9.87e-01, 1.26e-02]
4400 [9.88e-01, 1.25e-02]
4500 [9.88e-01, 1.24e-02]
4600 [9.88e-01, 1.24e-02]
4700 [9.89e-01, 1.23e-02]
4800 [9.88e-01, 1.22e-02]
4900 [9.89e-01, 1.21e-02]
5000 [9.90e-01, 1.21e-02]
5100 [9.90e-01, 1.21e-02]
5200 [9.90e-01, 1.20e-02]
5300 [9.90e-01, 1.20e-02]
5400 [9.91e-01, 1.19e-02]
5500 [9.90e-01, 1.19e-02]
5600 [9.89e-01, 1.19e-02]
5700 [9.91e-01, 1.18e-02]
5800 [9.90e-01, 1.17e-02]
5900 [9.92e-01, 1.17e-02]
6000 [9.92e-01, 1.17e-02]
6100 [9.92e-01, 1.16e-02]
6200 [9.91e-01, 1.17e-02]
6300 [9.93e-01, 1.16e-02]
6400 [9.92e-01, 1.15e-02]
6500 [9.92e-01, 1.15e-02]
6600 [9.93e-01, 1.15e-02]
6700 [9.93e-01, 1.14e-02]
6800 [9.94e-01, 1.14e-02]
6900 [9.94e-01, 1.14e-02]
7000 [9.94e-01, 1.13e-02]
7100 [9.94e-01, 1.13e-02]
7200 [9.94e-01, 1.13e-02]
7300 [9.95e-01, 1.13e-02]
7400 [9.95e-01, 1.13e-02]
7500 [9.95e-01, 1.12e-02]
7600 [9.95e-01, 1.12e-02]
7700 [9.95e-01, 1.12e-02]
7800 [9.95e-01, 1.12e-02]
7900 [9.96e-01, 1.12e-02]
8000 [9.95e-01, 1.11e-02]
8100 [9.96e-01, 1.11e-02]
8200 [9.96e-01, 1.11e-02]
8300 [9.96e-01, 1.11e-02]
8400 [9.96e-01, 1.11e-02]
8500 [9.96e-01, 1.10e-02]
8600 [9.96e-01, 1.10e-02]
8700 [9.97e-01, 1.10e-02]
8800 [9.97e-01, 1.10e-02]
8900 [9.97e-01, 1.09e-02]
9000 [9.96e-01, 1.09e-02]
9100 [9.97e-01, 1.09e-02]
9200 [9.98e-01, 1.09e-02]
9300 [9.98e-01, 1.09e-02]
9400 [9.98e-01, 1.09e-02]
9500 [9.98e-01, 1.10e-02]
9600 [9.98e-01, 1.09e-02]
9700 [9.98e-01, 1.09e-02]
9800 [9.98e-01, 1.09e-02]
9900 [9.98e-01, 1.08e-02]
10000 [9.98e-01, 1.08e-02]
10000 [9.98e-01, 1.08e-02]
10100 [9.98e-01, 1.08e-02]
10200 [9.99e-01, 1.08e-02]
10300 [9.99e-01, 1.08e-02]
10400 [9.99e-01, 1.08e-02]
10500 [9.99e-01, 1.08e-02]
10600 [9.99e-01, 1.08e-02]
10700 [9.99e-01, 1.08e-02]
10800 [9.99e-01, 1.08e-02]
10900 [9.99e-01, 1.08e-02]
11000 [9.99e-01, 1.08e-02]
11100 [9.99e-01, 1.08e-02]
11200 [9.99e-01, 1.08e-02]
11300 [9.99e-01, 1.08e-02]
11400 [9.99e-01, 1.08e-02]
11500 [9.99e-01, 1.08e-02]
11600 [9.99e-01, 1.08e-02]
11700 [9.99e-01, 1.08e-02]
11800 [9.99e-01, 1.08e-02]
11900 [9.99e-01, 1.08e-02]
12000 [9.99e-01, 1.08e-02]
12100 [9.99e-01, 1.07e-02]
12200 [1.00e+00, 1.07e-02]
12300 [1.00e+00, 1.07e-02]
12400 [1.00e+00, 1.07e-02]
12500 [1.00e+00, 1.07e-02]
12600 [1.00e+00, 1.07e-02]
12700 [1.00e+00, 1.07e-02]
12800 [1.00e+00, 1.07e-02]
12900 [1.00e+00, 1.07e-02]
13000 [1.00e+00, 1.07e-02]
13100 [1.00e+00, 1.07e-02]
13200 [1.00e+00, 1.07e-02]
13300 [1.00e+00, 1.07e-02]
13400 [1.00e+00, 1.07e-02]
13500 [1.00e+00, 1.07e-02]
13600 [1.00e+00, 1.07e-02]
13700 [1.00e+00, 1.07e-02]
13800 [1.00e+00, 1.07e-02]
13900 [1.00e+00, 1.07e-02]
14000 [1.00e+00, 1.07e-02]
14100 [1.00e+00, 1.07e-02]
14200 [1.00e+00, 1.06e-02]
14300 [1.00e+00, 1.06e-02]
14400 [1.00e+00, 1.06e-02]
14500 [1.00e+00, 1.06e-02]
14600 [1.00e+00, 1.06e-02]
14700 [1.00e+00, 1.06e-02]
14800 [1.00e+00, 1.06e-02]
14900 [1.00e+00, 1.06e-02]
15000 [1.00e+00, 1.06e-02]
15100 [1.00e+00, 1.06e-02]
15200 [1.00e+00, 1.06e-02]
15300 [1.00e+00, 1.06e-02]
15400 [1.00e+00, 1.06e-02]
15500 [1.00e+00, 1.06e-02]
15600 [1.00e+00, 1.06e-02]
15700 [1.00e+00, 1.06e-02]
15800 [1.00e+00, 1.06e-02]
15900 [1.00e+00, 1.06e-02]
16000 [1.00e+00, 1.06e-02]
16100 [1.00e+00, 1.06e-02]
16200 [1.00e+00, 1.06e-02]
16300 [1.00e+00, 1.06e-02]
16400 [1.00e+00, 1.06e-02]
16500 [1.00e+00, 1.06e-02]
16600 [1.00e+00, 1.06e-02]
16700 [1.00e+00, 1.06e-02]
16800 [1.00e+00, 1.06e-02]
16900 [1.00e+00, 1.06e-02]
17000 [1.00e+00, 1.06e-02]
17100 [1.00e+00, 1.06e-02]
17200 [1.00e+00, 1.06e-02]
17300 [1.00e+00, 1.06e-02]
17400 [1.00e+00, 1.06e-02]
17500 [1.00e+00, 1.06e-02]
17600 [1.00e+00, 1.06e-02]
17700 [1.00e+00, 1.06e-02]
17800 [1.00e+00, 1.06e-02]
17900 [1.00e+00, 1.06e-02]
18000 [1.00e+00, 1.06e-02]
18100 [1.00e+00, 1.06e-02]
18200 [1.00e+00, 1.06e-02]
18300 [1.00e+00, 1.06e-02]
18400 [1.00e+00, 1.06e-02]
18500 [1.00e+00, 1.06e-02]
18600 [1.00e+00, 1.06e-02]
18700 [1.00e+00, 1.06e-02]
18800 [1.00e+00, 1.06e-02]
18900 [1.00e+00, 1.06e-02]
19000 [1.00e+00, 1.06e-02]
19100 [1.00e+00, 1.06e-02]
19200 [1.00e+00, 1.06e-02]
19300 [1.00e+00, 1.06e-02]
19400 [1.00e+00, 1.06e-02]
19500 [1.00e+00, 1.06e-02]
19600 [1.00e+00, 1.06e-02]
19700 [1.00e+00, 1.06e-02]
19800 [1.00e+00, 1.06e-02]
19900 [1.00e+00, 1.06e-02]
20000 [1.00e+00, 1.06e-02]
